ID_Candidato,Nombre,Biografia,Tiene_Renuncia,Observaciones
MARCELO PABLO VAZQUEZ,"Vazquez, Marcelo Pablo",,NO,
ALEJANDRO SEGURA,"Segura, Alejandro",Abogado (UBA). Juez Federal en La Matanza. Docente Universitario,NO,
MARCELO MASTROSIMONE MIGUEL,"Mastrosimone, Miguel Marcelo","Abogado, fiscal en varios tribunales.Cercano a Matías Lammens, Fue candidato a asambelista por Nuevo San Lorenzo (2010) y desde 2012 hasta 2023 fue parte del oficialismo. Desde 2013 a 2022 fungió como el secretario del club. En 2019 fue nombrado como uno de los posibles candidatos a presidente desde el lado de Matías Lammens. En 2022 asumió como vicepresidente primero luego de la renuncia de Marcelo Tinelli. Tambien en ese año fue candidato al mismo puesto por la agrupación ""San Lorenzo Querido"". Durante esos años trabajó en las subcomisiones de la Vuelta a Boedo, Futbol Profesional, Futbol Juvenil, Relaciones Internacionales, Futbol Inclusivo, Futbol Recreativo. En 2025 fue candidato a vocal en la lista de Matías Lammens",SI,Renuncia / Fin de mandato anticipado
CLAUDIO LANTARON,"Lantaron, Claudio","Empresario farmaceutico Hijo del ex vice presidente Alfredo Lantarón. Vocal de comisión directiva (2019-2023) y tesorero (2022-2023). Cercano a Matías Lammens, fue parte de su lista en la Asamblea de 2025",NO,
ARIEL CHRISTIAN EVANGELISTA,"Evangelista, Christian Ariel",,NO,
DIAZ JUAN MANUEL,"Diaz, Juan Manuel",Abogado. Milita en Somos San Lorenzo. Candidato a vocal por la lista de Matías Lammens en la Asamblea de 2025,NO,
GUILLERMO ZUCCOLO,"Zuccolo, Guillermo",,NO,
BELLOMO ESTEBAN,"Bellomo, Esteban",,NO,
ALEJANDRO ROO,"Roo, Alejandro","Ex presidente de la peña de Lomas del Mirador, Referente del futbol Senior",NO,
ANGEL CIANNI MIGUEL,"Cianni, Miguel Angel","Candidato a comisiòn directiva por las agrupaciones La Casa del Vitalicio (2001), Frente San Lorenzo (2007), Grandeza Azulgrana (2004 y 2010 y Revolucion Azulgrana (2025). Parte de Proyecto Azulgrana",NO,
BLANCO INES MARIA MUINO,"Muiño, Maria Ines Blanco",,NO,
MATIAS MUNIZ,"Muñiz, Matias",Asambleista de Boedo en acción elegido en 2023. Colaborador de algunos deportes federados y persona cercana a Marcelo Moretti. Estuvo en la lista de Matias Lammens en la transitoria,NO,
ANTONELLA CARUSO SOFIA,"Caruso, Antonella Sofia",,NO,
CARREIRA IGNACIO,"Carreira, Ignacio","Fue dirigente del futbol senior entre 2019 hasta 2021, fue muy cercano a Marcelo Moretti. entre 2024 y 2025 fue dirigente del futbol juvenil. A finales de 2025 formó parte de la lista de Matías Lammens en la asamblea extraordinaria",NO,
MORALES ULISES,"Morales, Ulises","Abogado, oriundo de la Provincia de Mendoza. Vicepresidente del colegio de abogados de Mendoza. Vicepresidente de la asamblea hasta su licencia. Es asambleista desde 2023 por la lista de Boedo en Accion. Llegó a ser presidente unos dias debido a la licencia de Daniel Matos durante octubre de 2023. Actualmente es vocal de la comisión directiva",NO,
FERNANDO MANUEL SUAREZ,"Suarez, Fernando Manuel",Martillero Público y administrador de consorcios. Asambleista electo desde 2023. Fue candidato a vocal por la lista de Matías Lammens en 2025,NO,
ARRIOLA PABLO RODRIGUEZ,"Arriola, Pablo Rodriguez",,NO,
FERNANDEZ GALIANA GUSTAVO,"Galiana, Gustavo Fernandez","Jugador de Tenis de Mesa del club, ex colaborador del Basquet. Parte de Somos San Lorenzo",NO,
CATALDI SEBASTIAN,"Cataldi, Sebastian",,NO,
CASTRO DIEGO FERNANDEZ JUAN,"Castro, Juan Diego Fernandez",EN CONSTRUCCION,NO,
FLORENCIA GABRIEL VICTORIA,"Gabriel, Victoria Florencia",Diseñadora de Indumentaria y Moda (UP). Docente Universitaria. Actual vocal de comisión directiva. Encargada del Hockey,NO,
DIEGO MOREIRA,"Moreira, Diego","Asambleista de Boedo en acción, colaborador del futbol infantil entre 2023 y 2025.",NO,
BARRIOS MALENA,"Barrios, Malena",,NO,
AXEL SCHALE,"Schale, Axel","Sub-secretario de gestiòn en UBA Sociales y Politólogo (UBA), parte de Prioridad San Lorenzo. Actual miembro de comisión directiva y colaborador en la Tesoreria. Hijo de Ariel Schale",NO,
BARROS ESTRADA MATEO,"Barros, Mateo Estrada",,NO,
JOSE MOSQUERA PABLO RIVA,"Mosquera, Pablo Jose Riva",,NO,
DIEGO JUAN LOPEZ,"Lopez, Juan Diego",,NO,
DANTE GUTIERREZ MONACO,"Monaco, Dante Gutierrez","Fue candidato a asambleista por las listas ""Nuevo San Lorenzo"" en 2010, ""Volver a San Lorenzo"" en 2013, 2016 y 2019. ""Boedo en acción"" en 2022 y 2023, siendo electa en está última. Actualmente es el director de deportes federados del club y vocal",NO,
MAYRA TUBIO,"Tubio, Mayra",Manager de grupos musicales. Fue la vicepresidencia de la subcomisión de Futbol Femenino y Futsal Femenino. Donde el fútbol femenino fue campeóna en 2024 y el Futsal Femenino ganó la Copa Argentina. En 2025 tambien fue una de las colaboradoras del Futsal Masculino. Estuvo en la lista de Matías Lammens de la transitoria. Fue desplazada de sus cargos luego de asumir Sergio Costantino,NO,
JONATHAN LIROSI,"Lirosi, Jonathan",Productor de medios partidarios (Sonido Cuervo). Parte de Nuevo Rumbo Sanlorencista. Actual vocal de CD y responsable del futbol juvenil,NO,
CAHN MARIANA,"Cahn, Mariana",,NO,
GALIGNIANA PAULA VANINA,"Galigniana, Paula Vanina",,NO,
COCCA JONATHAN MATIAS,"Cocca, Jonathan Matias","Referente de la peña de Gonzalez Catán. Parte de ""Somos San Lorenzo""",NO,
DANIEL PABLO RASCOVAN,"Rascovan, Pablo Daniel",,NO,
DANIEL GUILLERMO PEREZ,"Perez, Guillermo Daniel",,NO,
ACHUCARRO JAKELINE,"Achucarro, Jakeline",,NO,
EDUARDO MASTANTUONO,"Mastantuono, Eduardo",,NO,
JOSE RAMON VINAS,"Viñas, Jose Ramon",,NO,
MARCELO MORETTI,"Moretti, Marcelo","Hijo de Luis Ángel Moretti, dirigente de la década de 1980. Abogado (UP) y empresario. Inició su trayectoria política en ""De Nuevo San Lorenzo"" bajo la presidencia de Héctor Sluga y el apoyo de Fernando Miele. En 2010 lideró su propia agrupación, Boedo en Acción, obteniendo la vocalía por la segunda minoría; renunció en 2012 durante el proceso de acefalía institucional. Posteriormente, integró la lista de San Lorenzo Siglo XXI (Lammens-Tinelli), desempeñándose como vocal oficialista y encargado del Fútbol Senior. Tras renunciar en 2021 por discrepancias con la conducción, retomó su espacio político y resultó electo presidente en 2023 con una amplia alianza estratégica. Su gestión inicial se centró en la estabilización económica mediante la transferencia de jugadores clave para sanear deudas. Sin embargo, su administración enfrentó crisis institucionales significativas, incluyendo la rescisión de contrato de Rubén Darío Insúa y controversias administrativas vinculadas a transferencias. En 2024 y 2025, su presidencia se vio envuelta en tensiones por el debate sobre las Sociedades Anónimas Deportivas y la situación financiera del club, que derivó en la venta de porcentajes de juveniles. El punto de quiebre ocurrió a finales de abril de 2025, tras denuncias de irregularidades en la inscripción de juveniles, lo que derivó en una licencia de 90 días. Finalmente, tras un fallido intento de retomar sus funciones en un clima de fuerte protesta social y procesos judiciales cruzados, la acefalía forzada en diciembre de 2025 puso fin a su mandato.",SI,Renuncia / Fin de mandato anticipado
NAVARRO NESTOR,"Navarro, Nestor","Hijo del empresario cárnico Juan Maria Navarro. Nestor fue ex-combatiente de Malvinas y actualmente se dedica a la empresa de su padre, OFFAL S:A, ubicada en Burzaco. Fue vicepresidente de San Lorenzo entre el 2023 y 2025. Durante ese periodo, hizo varios aportes económicos al club, aunque sin encargarse de ninguna disciplina o cuestiones del dia al dia por estar radicado en Uruguay. Renunció en Mayo de 2025 luego del escándalo de los 25mil dólares de Marcelo Moretti",SI,Renuncia / Fin de mandato anticipado
ALEJANDRO TAMER,"Tamer, Alejandro","Ingeniero Industrial (UCA), Fundador de la empresa DESPEGAR. Colaboró con San Lorenzo durante los primeros años del gobierno de Matías Lammens acercando el sponsor de su empresa. En 2022 fue uno de los empresarios que se sumaron a la lista de Cipriano Pommies. En 2023 fue candidato a vice-presidente por la lista ""Orden y Progreso"" siendo electo vocal por la minoria.",NO,
FEDERICO TIRELLI,"Tirelli, Federico",,NO,
CHRISTIAN MERA,"Mera, Christian",,NO,
NESTOR ORTIGOZA,"Ortigoza, Nestor",EN CONSTRUCCION,NO,
SEBASTIAN TORRICO,"Torrico, Sebastian",,NO,
FERNANDEZ JOSE LUIS,"Fernandez, Jose Luis",,NO,
ANDRES OSCAR TERZANO,"Terzano, Andres Oscar","Oriundo de Berazategui, presidente durante muchos años de la peña ""Los Cuervos del Sur"" de Berazategui. Inicia su trayectoria política en el espacio de Boedo en Acción, siendo electo asambleísta en las elecciones de 2010. En septiembre de 2012 renuncia como asambleísta para ser el presidente del departamento de peñas, cargo que ocupó hasta el 2020. Su gestión más importante fue de ser uno de los responsables de la movida del “Cuervomovil” que asoció a gente tanto en capital como en el interior del país. En noviembre de 2020 renunció a la presidencia del departamento de peñas, aunque al año volvería pero como vicepresidente. En 2022 oficializó su agrupación “Somos San Lorenzo” junto con varios referentes de peñas. En 2023 formó una alianza política con Boedo en Acción de Marcelo Moretti, ganando la eleccion y siendo electo vicepresidente 2do. Durante la gestión Moretti, Terzano fue el directivo a cargo de las peñas y presidente de la subcomisión del Futsal Masculino. En 2025 fue denunciado por distintas peñas opositoras por no respetar el estatuto de peñas y por el proceso eleccionario de peñas del 2024, el cual consideraban fraudulento, la denuncia fue desestimada por el tribunal de ética siendo declarado no culpable, no se lo pudo juzgar al no estar reglamentado el estatuto de peñas. En diciembre de 2025 renunciaría junto con el bloque de “Somos San Lorenzo” para contribuir con la acefalía",SI,Renuncia / Fin de mandato anticipado
DINA FISCHER,"Fischer, Dina",,NO,
DONOFRIO JORGE,"Donofrio, Jorge",,NO,
MATIAS PLESCIA,"Plescia, Matias",,NO,
DANIELA MENDEZ RIGHI,"Mendez Righi, Daniela",Licenciada en RR.PP (UCES). Empleada del Banco Supervielle. Vocal por el oficialismo (2023-2025). Encargada del departamento de socios y del Hockey sobre Cesped,NO,
ALEJANDRO BARROS URIEL,"BARROS, URIEL ALEJANDRO","Abogado y empresario. Fue parte de la comisión fiscalizadora (2007-2010). Candidato a vocal por Boedo en Accion (2010) y asambleista de San Lorenzo Siglo XXI desde 2022 hasta su renuncia en 2022. En 2023 fue elegido vocal por el oficialismo. Durante el periodo de Moretti, Uriel fue el encargado del basquet, siendo su mayor logro poder abonar las deudas de la disciplina y no perder la plaza de la Liga Nacional de Basquet. Entre Agosto y Diciembre de 2024 fue el secretario del club, en ese lapso Uriel fue instado a firmar un contrato con Foster Gillett para ceder los terrenos en Boedo al empresario a cambio de construir el futuro estadio en Boedo y otras cuestiones. En diciembre de 2024 se lo designo como Pro-Secretario hasta su licencia y posterior renuncia en Diciembre 2025. Actualmente sigue colaborando con el basquet en la comisión transitoria",SI,Renuncia / Fin de mandato anticipado
EMILIANO LEONE RODRIGUEZ,"Leone, Emiliano Rodriguez",,NO,
GOROYESKY LEANDRO,"Goroyesky, Leandro","Docente Universitario, concejal del PRO en Escobar. Entra en la política del club en la lista de + SL en las elecciones extraordinarias de 2012. En 2022 llega a Boedo en Acción despues de estar varios años en las agrupaciones de Ricardo Saponare y Cesar Francis. Desde 2023 hasta 2025 fue el tesorero de San Lorenzo",NO,
LEONARDO LIPERA,"Lipera, Leonardo",EN CONSTRUCCION,NO,
JOSE VINAS,"Viñas, Jose",,NO,
ALLIEVI IGNACIO JAVIER,"Allievi, Javier Ignacio","Abogado (UBA). Colaborador del futbol amateur en la gestión de Alberto Guil. En 2007 fue elegido asambleista del Savinismo. En 2010 acompañó a Marcelo Moretti en Boedo en Acción. Desde 2023 es vocal oficialista de comisión directiva, fue encargado del futbol juveniil.",NO,
OSVALDO VAICIULIS,"Vaiciulis, Osvaldo",,NO,
JULIO LOPARDO,"Lopardo, Julio","Reconocido cantante en los años 80 bajo el seudónimo ""Julio Sandiego"". Su vínculo en la política azulgrana se daría en 1995 cuando asumió como Vicepresidente 1ero en el rearmado de la comisión directiva, luego de no presentarse ninguna lista para las hipotéticas eleccionees de ese año. Tuvo un rol importante en el fútbol juvenil y profesionalhasta su renuncia en 1998, a tan solo unos meses de las elecciones. La renuncia se habría dado luego de conflictos sobre una posible candidatura de Julio como presidente dentro de la agrupación de Miele. Regresaría en 2001 colaborando en el fútbol, siendo en parte un nexo entre los jugadores y el cuerpo técnico y la dirigencia. Ese mismo año fue elegido vocal por la minoría, puesto que representaría hasta 2004. En ese mismo año se distanciaría por unos años de Fernando Miele y formó su propio espacio: Grandeza Azulgrana. En la que se presentó como candidato a presidente, aunque sin llegar a ocupar lugar en CD. En 2007 estuvo como candidato en la lista de Frente San Lorenzo, en la cual tampoco pudo llegar a ser miembro de CD. En 2010 nuevamente se presentaría con Grandeza Azulgrana, aunque esta vez con el auspicio de Fernando Miele, con un pésimo resultado terminando último en esas elecciones. Los siguientes 13 años estuvo fuera de la política azulgrana, hasta que en 2023 fue elegido vocal de Boedo en Acción, nuevamente vinculado con tareas relacionadas al fútbol profesional. En agosto renunciaría al concejo de Fútbol por declaraciones contra la AFA. En mayo de 2025 fue designado como vicepresidente 1ero,, de facto presidente en funciones, luego de la licencia otorgada por Marcelo Moretti debido al escándalo de los 25mil dólares. Durante su corto periodo, el club llegó a las semifinales del Torneo Apertura 2025, resolvió la resición de contrato de Miguel Angel Russo, se confirmó a Damián Ayude como Director Técnico y se tomó la decisión de no levantar las inhibiciones para el Torneo Clausura. A principios de septiembre sus funciones de facto como presidente culminaron al levantarse la liencia de Moretti. Renunció en diciembre de 2025 para contribuir a la acefalía",SI,Renuncia / Fin de mandato anticipado
HAYDEE PRIETO,"Prieto, Haydee",,NO,
BOUFFLET MARIA SOLEDAD,"Boufflet, Maria Soledad","Licenciada en Servicio Social (UMSA). Presidenta de la peña de Nueve de 9 Julio desde 2017 hasta 2023. Colaboradora en la subcomisión de genero y diversidad (2019-2023). Referenta del area de mujeres, género y diversidad sexual del departamento de peñas (2022-2023). Vocal de Comisión directiva por Boedo en Acción (2023-2025). Encargada de las areas CASLA Social y Género. Referenta de la agrupación poítica ""Somos San Lorenzo"" relacionada a las peñas del club",NO,
DOMINGO MITOLO,"Mitolo, Domingo",,NO,
ARACELI MARTIN PEREZ,"Martin, Araceli Perez",,NO,
CIGNA MARTIN,"Cigna, Martin",Abogado (UBA). Intendente entre 2023 y 2024. Secretario entre 2024 y 2025,NO,
ALEJANDRO CABANA DIEGO,"Cabaña, Diego Alejandro",,NO,
RAMON VILLAVEIRAN,"Villaveiran, Ramon",,NO,
MATEO SAGARDOY,"Sagardoy, Mateo","Concejal de Marcos Paz (2017-2025) por Unión x la Patria. Licenciado en Administración. Intendente de San Lorenzo entre 2024 y 2025. Referente de ""Somos San Lorenzo""",NO,
LEVALLE PABLO,"Levalle, Pablo",EN CONSTRUCCION,NO,
AGUSTINA LENZI,"Lenzi, Agustina",,NO,
GARCIA LAGO PABLO,"Garcia Lago, Pablo","Abogado (UMSA). Titular del estudio jurídico ""García Lago / Villanueva"". En 2001 fue elegido asambleista por el oficialismo savinista. En ese periodo, García Lago colaboró con la reforma del estatuto aprobada en Septiembre del 2003. En 2004 decidió abstenerse en la votación para expulsar a Fernando Miele como socio, ingresando a su espacio político para las elecciones del 2004. Entre 2016 y 2022 fue funcionario dentro del Gobierno de la Ciudad de Buenos Aires, siendo inclusive candidato a Legislador de CABA en 2017. En 2023 fue elegido en la lista de Boedo en Acción y fue designado Secretario. Cargo al cual renunció en Agosto de 2024 por discrepancias. Renunció a su cargo de vocalía en Diciembre de 2025 para generar la acefalía",SI,Renuncia / Fin de mandato anticipado
FABIO LACOLLA,"Lacolla, Fabio",,NO,
CARINA FARIAS LILIANA,"Farias, Carina Liliana","Contadora (UNLZ). Dirigente del tenis durante la gestión Moretti, fue Secretaria de Actas y Pro-Tesorera. En 2025 renunció para contribuir la acefalía",SI,Renuncia / Fin de mandato anticipado
CATOYRA CRUZ JUAN,"Catoyra, Juan Cruz",,NO,
NAYME VERZINO,"Verzino, Nayme",,NO,
IANELLO SABRINA,"Ianello, Sabrina",,NO,
MARIANO MARINO,"Marino, Mariano","Contador. Estuvo en la lista de Boedo en Acción de 2022 y 2023 sin llegar a asumir como vocal. Actual colaborador de la tesorería de San Lorenzo, tambien fue colaborador en la gestión Moretti",NO,
MANUEL QUINTANA,"Quintana, Manuel",,NO,
GONZALO MARTINEZ SALUM,"Salum, Gonzalo Martinez",,NO,
LEONARDO VIRARDI,"Virardi, Leonardo","Empresario de Berazategui, cercano a Andrés Terzano y al Pato Mussi. Dueño del local de ropa ""Por lo que yo te Quiero"". Apoyó a Moretti en las elecciones de 2023. Estuvo en la lista de Boedo en Acción en 2023 y asumió como vocal en Agosto de 2025. Renunció en Diciembre de 2025 para contribuír a la acefaía",SI,Renuncia / Fin de mandato anticipado
GRIGERA JUAN MARTIN,"Grigera, Juan Martin",,NO,
DAMIAN GREMONE,"Gremone, Damian",,NO,
DIEGO RIVAS,"Rivas, Diego",,NO,
ALAN NAVARRO,"Navarro, Alan","Hijo del ex vicepresidente Nestor Navarro. Se encarga de los negocios de su padre en la Argentina. Fue parte de Boedo en Acción, aunque nunca asumiò una vocalía en la comisión directiva",NO,
FLORENCIA GIANCHETTA,"Gianchetta, Florencia",,NO,
CHIARELLO LEANDRO,"Chiarello, Leandro",,NO,
ANTONIO GOMEZ JOSE,"Gomez, Jose Antonio",,NO,
EMILIANO RODRIGUEZ,"Rodriguez, Emiliano","Empresario gastronòmico, cercano a Marcelo Moretti. Fue parte de Boedo en acción, aunque nunca asumió una vocalía en comisión directiva",NO,
COGUZZA FEDERICO,"Coguzza, Federico",,NO,
CHRISTIAN DI PRIETO,"Prieto, Christian Di",,NO,
BRUNO VACCARO,"Vaccaro, Bruno",,NO,
BELEN LUGONES NOELIA,"Lugones, Belen Noelia","Abogada (UNPAZ). Hija de políticos radicales. Fue presidenta de la Juventud Radical en Malvinas Argentinas y candidata a concejal por el partido político de Roberto Lavagna. En Agosto de 2025 asumió como vocal oficialista. Renunciando en Diciembre para contribuir con la acefalía. Desde 2026 es parte de la agrupación ""Consenso Azulgrana"" colaborando con el actual oficialismo",SI,Renuncia / Fin de mandato anticipado
EMANUEL SALCEDO,"Salcedo, Emanuel",,NO,
ANABELLA ESCOBAR,"Escobar, Anabella",,NO,
DANIEL MATOS,"Matos, Daniel","Ex presidente de la peña ""Los Carasucias de San Isidro"". En 2010 fue candidato a vocal por la lista de Boedo en Accion de Marcelo Moretti, en 2019 fue elegido asambleista por el oficialismo y en 2023 fue elegido asambleista por la lista de Boedo en Accion. Actualmente es el encargado del proyecto de escuelas de fútbol y representante de San Lorenzo en Conmebol",NO,
DIEGO PERELLI,"Perelli, Diego",Referente de la Sub-Comisión del Hincha. Asambleista (2019-2023) por Cruzada x San Lorenzo. Actual asambleista por X Amor a San Lorenzo. Colaborador del Futbol Femenino,NO,
ACUNA ANALIA CLAUDIA,"Acuña, Claudia Analia",,NO,
BUZZO DANIEL GUILLERMO,"BUZZO, GUILLERMO DANIEL","Asambleista durante los 12 años de Lammens-Tinelli. Colaborador del Voley y de la Intendencia. Asambleista de X Amor a San Lorenzo, renunció en 2026",SI,Renuncia / Fin de mandato anticipado
JORGE ROMANO,"Romano, Jorge",,NO,
CASAL IGNACIO JUAN,"Casal, Juan Ignacio",EN CONSTRUCCION,NO,
DARIO IGLESIAS RUBEN,"IGLESIAS, RUBEN DARIO","Referente de la Subcomisión del hincha. Apoderado de Siempre San Lorenzo en 2022 y Actualmente es el apoderado de las listas de Sergio Costantino. Actual asambleista por ""X Amor a San Lorenzo""",NO,
BERMUDEZ HECTOR,"Bermudez, Hector",Asambleista de Francis entre 2019 a 2023. Parte de Volver a San Lorenzo,NO,
ALFREDO SOLOA,"Soloa, Alfredo",Reconocido militante peronista de la zona sur del conurbano. Renunció a principios de 2026 a la Asamblea,SI,Renuncia / Fin de mandato anticipado
LEON PATRICIO,"Leon, Patricio",Integrante de Orden y Progreso. Vocal de la mesa directiva de la Asamblea de Representantes,NO,
LORENA MASSARA,"Massara, Lorena",Gloria del Tenis de San Lorenzo. Actual asambleista de Volver a San Lorenzo,NO,
ANGELES DE LOS MARIA PEREYRA,"Pereyra, Maria de los Angeles",Parte de la comisión de la vuelta a Boedo. Fue elegida como asambleista de Boedo en Acciòn en 2023,NO,
BALDASSARE SANTOS,"Baldassare, Santos","Integrante de Renovación San Lorencista, responde a Guillermo Mangone. Asambleista del Savinismo (2004-2007)",NO,
CARLOS KASE RAMIREZ,"Kase Ramirez, Carlos",EN CONSTRUCCION,NO,
GAUDIO OSMAR RUBEN,"Gaudio, Ruben Osmar",,NO,
SANTOS ZUBERBUHLER,"Zuberbuhler, Santos","Productor Agropecuario del interior de Buenos Aires, descendiente de la familia Blaquier. Renunció a la asamblea de repsentantes a principios de 2026",SI,Renuncia / Fin de mandato anticipado
FERNANDO SANFILIPPO,"Sanfilippo, Fernando",,NO,
JORGE LIMARDO OMAR,"Limardo, Jorge Omar","Gloria del hockey sobre patines. Asambleista entre 2016 y 2023 por el oficialismo. Colaborador de los Deportes Federados. Actual asambleista por ""X Amor a San Lorenzo""",NO,
ADANZA FABIAN ROBERTO,"ADANZA, DIEGO ROBERTO",,NO,
PABLO VACCARO,"Vaccaro, Pablo",Militante político en la zona sur del Conurbano Bonaerense. Muy cercano a Marcelo Moretti. Fue dirigente del futbol senior junto con Moretti. Durante 2024 y 2025 fue uno de los colaboradores de los deportes federados,NO,
BALDASSARE DE GUZMAN MONICA,"Guzman de Baldassare, Monica","Integrante de Renovación San Lorencista, responde a Guillermo Mangone. Esposa de Santos Baldassare",NO,
FERNANDO LUIS NAVARRO,"Navarro, Luis Fernando","De apodo ""Chino"". Referente del Movimiento Evita. Abogado (USAL). Secretario de Relaciones con la Sociedad Civil y Desarrollo Comunitario de la Nación Argentina y Secretario de Relaciones Parlamentarias, Institucionales y con la Sociedad Civil de la Nación Argentina durante el Gobierno de Alberto Fernández. Tambien fue Diputado de la Provincia de Buenos Aires (2005-2017). Empresario gastronómico. Asambleista de ""X Amor a San Lorenzo""",NO,
ERNESTO LOUGHLIN,"Loughlin, Ernesto",,NO,
ALEJANDRO PACIFICO,"Pacifico, Alejandro",EN CONSTRUCCION,NO,
DANIEL EDUARDO MARTINEZ,"Martinez, Daniel Eduardo",EN CONSTRUCCION,NO,
FEDERICO RUIZ SEBASTIAN,"Ruiz, Federico Sebastian",,NO,
CORTI MARCELO,"Corti, Marcelo","Magister en Administración pública (UBA), especialista en desarrollo y sustentabilidad y profesor universitario. Estuvo a cargo del proyecto fallido del colegio de San Lorenzo. Actualmente es colaborador en la sub comisiòn de sustentabilidad",NO,
CHRISTIAN PRADO,"Prado, Christian",,NO,
COELLO MARTIN,"Coello, Martin",Referente de la Sub-Comisión del Hincha. Actual asambleista por X Amor a San Lorenzo.,NO,
COVELLI MATIAS,"Covelli, Matias",,NO,
NICOLAS PELLEGRINI,"Pellegrini, Nicolas",Parte de Actitud San Lorenzo y dentro del bloque de OYP. Secretario de Actas de la asamblea,NO,
ARDETTI MAGALI VAZQUEZ,"Vazquez Ardetti, Magali",EN CONSTRUCCION,NO,
MORELLO ROBERTO,"Morello, Roberto","Fue candidato a vocal en las listas ""La casa del vitalicio"" en 2001 y ""Grandeza Azulgrana"" en 2010. Durante el gobierno de Moretti fue el encargado del Futsal Masculino, siendo muy criticado por su labor. Dejó de colaborar en la disciplina en las fechas finales",NO,
LUCAS PALUMBO,"Palumbo, Lucas","Parte de Orden y Progreso, colaborador del voley",NO,
GABRIEL PALETTA,"Paletta, Gabriel",Asambleista Oficialista (2019-2023). Asambleista de Por Amor a San Lorenzo,NO,
CRISCOLO SERGIO,"Criscolo, Sergio",,NO,
CARDESIN OMAR ROIS,"Rois Cardesin, Omar","Integrante de Renovación San Lorencista, responde a Guillermo Mangone.",NO,
ALBERTO BARILARI,"Barilari, Alberto",,NO,
BRUNO IGNACIO,"Bruno, Ignacio",,NO,
BLASCO JOSE,"Blasco, Jose","Abogado (UBA). candidato a vocal en 2022 por Boedo en Accion y en 2023 como asambleista siendo electo. Fue junto con Pablo Garcia Lago abogados defensores en el juicio con el Fondo AIS, abandonando la causa.",NO,
NOELIA SOLEDAD WALTER,"Walter, Noelia Soledad","Licenciada en Relaciones Públicas, Ex jugadora de Fútbol Femenina. Ex presidenta de la peña de Pilar",NO,
JUAN MANUEL VIGNALI,"Vignali, Juan Manuel",,NO,
BELLANI RICARDO,"Bellani, Ricardo",,NO,
FERNANDEZ QUIROZ SANTIAGO,"Fernandez Quiroz, Santiago",Contador (UCA). Trabajando en el sector privado,NO,
CLAUDIO COLOMBO,"Colombo, Claudio",,NO,
LINARES ROBERTO,"Liñares, Roberto",,NO,
FURCI JORGE OSVALDO,"Furci, Jorge Osvaldo",,NO,
CAROLINA TRUZZI,"Truzzi, Carolina",,NO,
MARTINA YAZALDE,"Yazalde, Martina",,NO,
DORSA GUIDO,"Dorsa, Guido",,NO,
BERDINAS MARCELO MARTIN,"BERDIÑAS, MARTIN MARCELO",,NO,
EDELSTEIN MARCELO,"Edelstein, Marcelo","Fue asambleista oficialista en 2010 y colaborador del futbol amateur. En 2019 fue candidato a Asambleista por ""Frente Pasion Azulgrana"". en 2022 y 2023 estuvo como asambleistas en las listas de ""Boedio en Accion"" siendo electo asambleista. Durante ese tiempo fue uno de los encargados del futbol juvenil. A finales de 2025 intentó crear un plan de salvataje para el club, siendo enviada a la AFA. Propuesta que fue rapidamente rechazada por el organo supremo del fútbol Argentino",NO,
FERNANDO TROIANO,"Troiano, Fernando",,NO,
BUBILLIO GARCIA MAXIMILIANO,"Garcia Bubillio, Maximiliano",,NO,
BRIAN SABEL,"Sabel, Brian",,NO,
CARAVOTTA HERNAN,"Caravotta, Hernan",De profesion estilista. Electo asambleista en 2023. Actualmente militante de Sergio Costantino,NO,
HECTOR SALCEDO,"Salcedo, Hector",,NO,
ANGEL CARRILLO ENRIQUE,"CARRILLO, ANGEL ENRIQUE",,NO,
BELLANI ESTEBAN,"Bellani, Esteban",,NO,
CARUSO SOFIA,"Caruso, Sofia",,NO,
DE GIOVANNI SEBASTIAN,"De Giovanni, Sebastian",,NO,
BIONDO MARCO,"Biondo, Marco",,NO,
BARBARA CARRASCO MARIANA,"Carrasco, Barbara Mariana","Parte de la agrupación ""Nuevo Rumbo Sanlorencista""",NO,
MARTINA PALETTA,"Paletta, Martina",,NO,
MARISA TARRIO,"Tarrio, Marisa",,NO,
MANUEL SALVADOR,"Salvador, Manuel",,NO,
ARIEL FUNES GUSTAVO,"Funes, Gustavo Ariel",,NO,
AHUMARAN GABRIEL,"Ahumaran, Gabriel","Gastroenterologo, colabador de futbol infantil entre 2023 y 2025. Vocal del Club Argentino del Estómago y Duodeno (CADED)",NO,
FABIAN VOLONTE,"Volonte, Fabian",,NO,
CLAUDIO MORRONE,"Morrone, Claudio",,NO,
CARLOS JUAN SAURO,"Sauro, Juan Carlos",,NO,
HUGO MONTI,"Monti, Hugo","Colaborador futbol infantil, estuvo en las listas de Boedo en Accion de 2022 y 2023",NO,
MATRA PABLO,"Matra, Pablo",,NO,
GARCIA GUSTAVO,"Garcia, Gustavo",,NO,
ALEJANDRO LOSADA,"Losada, Alejandro",,NO,
CARBONE NICOLAS,"Carbone, Nicolas",Licenciado en Kinesiologia y Fisiatria (UAI). Colaborador del Futbol Femenino,NO,
AQUINO NADIA,"Aquino, Nadia",,NO,
DANIEL RICARDO SANCHEZ,"Sanchez, Daniel Ricardo",,NO,
ROBERTO STAHLI,"Stahli, Roberto",,NO,
