ID_Candidato,Nombre,Biografia,Tiene_Renuncia,Observaciones
FERNANDO MARCELO MEIS,"Meis, Marcelo Fernando","Abogado y ex legislador porteño, acutal miembro del Consejo de la Magistratura de Buenos Aires. Actualmente forma parte de la comisión fiscalizadora de San Lorenzo por el espacio de Volver a San Lorenzo",NO,
FARINA GONZALO,"Fariña, Gonzalo",Ingeniero industrial (UBA). Master en finanzas (UCEMA). Empresario. Ex gerente financiero de Celulosa Argentina. Ex gerente general de Grupo Quintana,NO,
CARTA MOGLIETTA VALERIA,"Carta Moglietta, Valeria","Licenciada en Administracion (UBA) y experta en Sustentabilidad. Funcionaria con mas de 20 años de experiencia en el CGBA. Asambleista en licencia por Boedo en acción (2023-2026). Actual vicepresidenta 1ero de San Lorenzo. Presidenta de la subcomisión del Voley, colaboradora en la subcomisión de sustentabilidad y colaboradora del fallido proyecto del colegio impulsado por Marcelo Moretti",NO,
ANA BOZZANO,"Bozzano, Ana","Docente, coordinadora del centro de estudiantes del profesorado Juan B Justo. Trabajadora judicial",NO,
ALFREDO ALONSO,"Alonso, Alfredo","Especialista en administración, mantenimiento y gestión de equipos. Trayectoria en el rubro gastronómico y conducción operativa. Referente histórico de la bandera de Devoto, autor de muchas de las canciones de la hinchada de San Lorenzo",NO,
AGUSTINA NORDENSTROM,"Nordenstrom, Agustina","Periodista deportiva y Azafata. Vocal por la minoría entre 2023 y 2025, ingresando por el cupo femenino. En 2025 renunció para contribuir a la acefalía. En 2026 integraría la lista de Volver A San Lorenzo de Cesar Francis, pero renunció por diferencias con Cesar Francis, esto debido a un declaraciones polémicas en redes sociales acerca del desempeño del equipo contra River",SI,Renuncia / Fin de mandato anticipado
DAVID VIVIANA,"David, Viviana","Empleada en Superintendencia de Riesgos del trabajo. Profesora de Natación, Gimnasia y Personal Trainer.",NO,
ARIEL MARTIN SAIZ,"Saiz, Martin Ariel","Maestria en Recursos Humanos (UADE), Doctorado en Administración de Empresas (UCA) y Doctorado en Historia (UTDT). Su carrera política inicia con su propia agrupación (Identidad San Lorencista) en el que estuvo involucrado en el armado del “Frente de Agrupaciones Unidas”, lo que terminó siendo “Siempre San Lorenzo”. Participando Martín como el primer fiscalizador de la lista. En 2023 fue candidato a vocal de “X Amor a San Lorenzo”. Finalmente en 2025 fue electo en la lista que encabezó Sergio Costantino para la asamblea extraordinaria del 22 de Diciembre. Actualmente es el secretario de la institución, presidente del departamento de peñas e impulsor del proyecto de “Gobernanza Abierta”",NO,
ETMAN HERNAN WALTER,"Etman, Hernan Walter","Empresario, presidente de la empresa IEP S.A. Vicepresidente segundo de San Lorenzo (2012-2023). Actual asambleista por Orden y Progreso (2023-2027) candidato a vocal por Orden y Progreso",NO,
CURUTCHET ERNESTO JUAN,"Curutchet, Juan Ernesto","Abogado (UBA), con máster en NYU. Amplia trayectoria en el sistema financiero. Director del Banco Central, ex presidente del Banco Provincia y ex vicepresidente del Banco Ciudad",NO,
CARUSO DANIEL JONATHAN,"Caruso, Jonathan Daniel","Licenciado en Gobierno y Relaciones Internacionales. Experiencia en la legislatura y la Auditoria de la CABA. Especializado en procesos legislativos, control de gestión y Análisis institucional. Fue asambleista por Volver a San Lorenzo entre 2016-2019. Tambien fue candidato a vocal por el mismo espacio en 2019, 2023 y en la asamblea de 2025",NO,
ANCAROLA GONZALO,"Ancarola, Gonzalo","Abogado, apoyò la candidatura de Marcelo Moretti a presidente en las elecciones de 2010",NO,
BOUZAS RODRIGO,"Bouzas, Rodrigo","Licenciado en Políticas Públicas (UNTREF). Funcionario del Gobierno de la Ciudad de Buenos Aires (GCBA) desde el 2011. Actual director general de la dirección general innovacion y simplificación de procesos, dentro de la secretaría de trabajo y empleo. Actual Sub-Intendente del Club",NO,
CAMPOS GONZALO,"Campos, Gonzalo","Licenciado en Administración (UBA). Mas de 25 años de experiencia en el sector financiero. Lidera la Banca Empresas en Brubank. Referente de ""Todo por San Lorenzo"". Actual candidato a vocal por Orden y Progreso",NO,
FLORENCIA RESTUCCI,"Restucci, Florencia",Licenciada en Comunicación Social y docente (UNQ). Especialista en comunicación estratégica y proyectos socioambientales. Coordinadora de Comunicación del proyecto Ciudades Sostenibles (GEF7) en la SSA. Ex directora del periodico digital El Numeral.,NO,
BLANCO FERNANDO MUINO,"Blanco Muiño, Fernando","Abogado (UBA), docente secundario y universitario. Subsecretario en la Subsecretaría de Defensa del Consumidor y Lealtad Comercial, dependiente del Ministerio de Economía de  la Argentina. Fue candidato a vocal por Volver a San Lorenzo en 2022 y 2023",NO,
ALESSANDRIA CLAUDIA,"Alessandria, Claudia",Ex delegada y congresal de SUTECBA en el ministerio de educación.de la Ciudad de Buenos Aires,NO,
ARIEL SCHALE,"Schale, Ariel","Licenciado en Economía (UBA), ex colaborador del proyecto CIELSA. y se desempeñó como subsecretario de Comercio Internacional del Ministerio de Relaciones Exteriores y Culto (2010-2011); de Política y Gestión Comercial de la Secretaría de Industria, Comercio y PyME (2007-2008); y subsecretario de Industria del Ministerio de la Producción de la Provincia de Buenos Aires (2008-2010). y Secretario de industria durante el gobierno de Alberto Fernández (2020-2023). Actualmente funge como el pro-tesorero del club",NO,
CRISCOLO PEDRO,"Críscolo, Pedro","Abogado (UBA). Mlitante estudiantil. Fue candidato a asambleista por ""Volver a San Lorenzo"" en el 2022. Actual candidato a vocal por ""Orden y Progreso""",NO,
FERNANDO FISCHER,"Fischer, Fernando",Entrenador con licencias oficiales ATFA (B y C) egresado de ISAD. Sobrino del Lobo Fischer,NO,
ALVAREZ JONATHAN,"Alvarez, Jonathan","Periodista deportivo (TEA), independiente e integrante de varios medios partidarios. Fue candidato a asambleista en 2023 y vocal en la asamblea de 2025, siempre desde el espacio de Volver a San Lorenzo",NO,
ANGEL MIGUEL SAVINO,"Savino, Miguel Angel",Secretario general de la Federación del Personal Jerárquico y Profesional de la Secretaría de Comunicaciones y Correo Oficial de la República Argentina (FEJEPROC),NO,
CAPRIA JOSE,"Capria, Jose",Abogado. Sub Intendente de la primera gestión de Rafael Savino (2004-2007) y secretario en la segunda gestión (2007-2010),NO,
