Row 18: [Col 1: ] | [Col 2: ] | [Col 3: 4] | [Col 4: Volver a San Lorenzo] | [Col 5: Cesar Francis] | [Col 6: Jorge Ferronato] | [Col 7: Alejandro Segura] | [Col 8: 2] | [Col 9: {FormulaResult: 0.02898550725}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 19: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: Movete Boedo Movete] | [Col 5: Manuel Agote] | [Col 6: Sebastian Pareja] | [Col 7: Lucia Rojas] | [Col 8: 0] | [Col 9: {"formula":"H19/H21"}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 20: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ABSTENCIONES] | [Col 5: ABSTENCIONES] | [Col 6: ABSTENCIONES] | [Col 7: ABSTENCIONES] | [Col 8: 1] | [Col 9: {FormulaResult: 0.01449275362}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 21: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 69}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 22: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ASAMBLEISTAS TOTALES] | [Col 6: ASAMBLEISTAS TOTALES] | [Col 7: ASAMBLEISTAS TOTALES] | [Col 8: 90] | [Col 9: {FormulaResult: 0.7666666667}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 23: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ELECCIONES ORDINARIAS - DICIEMBRE 2023] | [Col 6: ELECCIONES ORDINARIAS - DICIEMBRE 2023] | [Col 7: ELECCIONES ORDINARIAS - DICIEMBRE 2023] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 24: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 25: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 26: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: Boedo en Accion] | [Col 5: Marcelo Moretti] | [Col 6: Nestor Navarro] | [Col 7: Nestor Ortigoza] | [Col 8: 6009] | [Col 9: {FormulaResult: 0.3673656538}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 27: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: Orden y Progreso] | [Col 5: Macelo Culotta] | [Col 6: Alejandro Tamer] | [Col 7: Guillermo Mangone] | [Col 8: 4676] | [Col 9: {FormulaResult: 0.2858714923}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
